"Reference";"LeftContext";"Keyword";"RightContext"
"Series_200_20";", très vite attachants et identifiables. La";"musique";"qui accompagne le tout est aussi parfaitement trouvée, elle est originale"
"Series_200_20";"petit bijou : personnages et intrigues barrés,";"musique";"du compositeur d'Utopia, rythme jouissif et suspense agréable. Et"
"Series_200_20";"de même magnifiques) et surtout pour la";"musique";"du même compositeur. Alors, évacuons ce qui dérange le plus"
"Series_200_20";"de réticence pour l'agent Estevez. La";"musique";"interprété par Cristobal Tapia de Veer était déjà un émerveillement dans Utopia"
"Series_200_20";"costumes et les décors sont superbes, la";"musique";"parfaite. Niveau scénario, ça commence très vite dans le vif"
"Series_200_20";"si l'esthétique est assez sympa et la";"musique";"relativement belle. Peut être vais -je apprendre à plus l'apprécier"
"Series_200_20";". Bonne ambiance, belle image. La";"musique";"de la présentation est excellente. Bon choix d'acteurs et quel"
"Series_200_20";"pertinent. Vous ferez attention notamment à la";"musique";"qui passe au moment où "" MR ROBOT "" est affiché dans"
"Series_200_20";"il doit beaucoup au montage et à la";"musique";". Il y a vraiment de bonnes idées de mise en scène"
"Series_200_20";"très intéressante. Les plans également et la";"musique";"sont très bien choisis et donne une ambiance vraiment particulière, une"
"Series_200_20";"la symphonie n° 7 de beethoven (";"musique";"qui passe dans x-men apocalypse pendant LE monologue d'apocalypse ou encore"
"Series_200_20";"sont (en général) bons, la";"musique";"est excellente. Le problème, c'est le scénario. Pour"
"Series_200_20";"Le scénario est réglé comme du papier à";"musique";", Sam Esmail traite son sujet et ses personnages avec intelligence et"
"Series_200_20";"léchée, très Fincher-esque, jusqu'à la";"musique";"qu'on dirait pondue par Trent Reznor. Elle fait dans l'"
"Series_200_20";"partie de la saison : utilisation de la";"musique";"magistrale, décadrages soignés (un style inventé par la série anglaise"
"Series_200_20";"spectateur dans des univers palpitants, où la";"musique";"et la pression psychologique sont amenés à un niveau jamais atteint à"
"Series_200_20";"atmosphère étrangement claustro à certains moment, une";"musique";"venant enfoncé le clou, et un scénario qui nous fait nous"
"Series_200_20";"de la photographie et l'éclectisme de la";"musique";", on obtient une véritable oeuvre, une des rares œuvres télévisuelles"
"Series_200_20";"faire edgy, que ça passe par la";"musique";", l'environnement constamment délabré ou les sujets abordés. Cette série"
"Series_200_20";"au scandale sur les monologues anti-capitalistes sur une";"musique";"des Pixies, les masques de V lowcost et les ballerines justes"
"Series_200_20";"comprendre ce qui se dit), la";"musique";"absolument énorme … Par contre, un élément que j’ai trouvé"
"Series_200_20";", très sombre et assez épurée. Une";"musique";"parfaitement choisie. Et puis évidemment un jeu d'acteurs très bien"
"Series_200_20";"tout aidé par une lumière travaillée et une";"musique";"adéquate (...) Au travers de cette invention narrative, on"
"Series_200_20";"la guerre a fortement marquée le globe (";"musique";", idéal, politique …), les deux grands vainqueurs ont"
"Series_200_20";"la transcender, le tout accompagné d’une";"musique";"sublime. The Man in the High Castle est un véritable bijou"
"Series_200_20";"saison se trouve dans les détails. La";"musique";", d'abord, est bien pensée. Elle apporte l'ambiance"
"Series_200_20";"point positif de ce spectacle honteux est la";"musique";"des Who pour le générique, Won't Get Fooled Again ça reste"
"Series_200_20";"10 jours. On a aussi droit une";"musique";"très à la mode qui fait passer la dure pilule du """
"Series_200_20";"incompréhensibles à l'écran, mais y'a une";"musique";", donc ça passe, beh oui ! La logique des Experts"
"Series_200_20";"2 points donc : 1 point pour la";"musique";"du générique, qui contribue à vouloir donner un côté rock n'"
"Series_200_20";". Et en plus il y a la";"musique";"des Who, c'est une preuve de bon gout Série épouvantable"
"Series_200_20";"est la deuxième fois que je met la";"musique";"comme points positifs (je l'ai fait pour The Heirs)"
"Series_200_20";") et je me rends compte que la";"musique";"est vraiment importante dans un drama, elle a le pouvoir de"
"Series_200_20";"un culte à Cyril Hanouna (et sa";"musique";"de merde). Il fut un temps où cette émission était"
"Series_200_20";"de fois où le DJ se trompe de";"musique";") et au bout d'un moment, ça devient vraiment lassant"
"Series_200_20";"grotesque non stop, dessins très moyens,";"musique";"electro-moderne loin des théme épique de la saga, personnages creux ("
"Series_200_20";"tonnerre qui gronde ou de tornade sur une";"musique";"épique, non non. Un rayon de lumière de 5s et"
"Series_200_20";"infamie ce truc ! Les dessins, la";"musique";", l'animation, le design des nouveaux persos, les combats"
"Series_200_20";"un designer, les jolies filles et la";"musique";") mais pas mal du tout. Le début est un peu"
"Series_200_20";"en lasse pas, le nightcore de cette";"musique";"est épic et renforce le côté survival game. Malheureusement, seul"
"Series_200_20";"Yukiteru amano est bien fait) - La";"musique";"est juste GENIAL Défauts - Les personnages secondaires sous exploités servant juste"
"Series_200_20";"cela est appuyé par le fait que la";"musique";"est de très bonne facture et permet pleinement de profiter de la"
"Series_200_20";"même. En train de remarquer que la";"musique";"est mine de rien pas mal du tout, et que c'"
"Series_200_20";"intrigue, tristesse, action, folie la";"musique";"s'insère toujours particulièrement bien même si les mêmes thèmes sont utilisé"
"Series_200_20";"dans Higurashi no naku koro ni. Question";"musique";"là par contre c’est du lourd ! L’opening 1 est"
"Series_200_20";"plutôt bon. J'ai bien aimé la";"musique";"qui, je trouve, collait très bien aux différents moments spécifiques"
"Series_200_20";"énergiques, tragiques. Par exemple la célèbre";"musique";"Here with you ou sixth theme et j'en passe... Je"
